Name,Field
Pope Francis,Religion
Paulo Coelho,Novelist
Muhammad Yunus,Economics
Orhan Pamuk,Novelist
Edward Snowden,Policy
Umberto Eco,Novelist
Richard Dawkins,Evolutionary Biology
Dalai Lama,Religion
Yo Yo Ma,Artist
Al Gore,Ecology
Henry Kissinger,Politics
Tim Berners-Lee,Computer Science
George Soros,Entrepreneur
Noam Chomsky,Linguistics
Pope Benedict XVI.,Theology
Peter Singer,Philosophy
Deepak Chopra,Medicine
Ernesto Zedillo,Policy
Stephen Hawking,Physics
Joseph Stiglitz,Economics
Malala Yousafzai,Policy
Daniel Dennett,Philosophy
Martha Nussbaum,Philosophy
Mario Vargas Llosa,Novelist
Ray Kurzweil,Futurist
Zaha Hadid,Architecture
Edward O. Wilson,Biology
Haruki Murakami,Novelist
Murray Gell-Mann,Physics
Rem Koolhaas,Architecture
Amartya Sen,Economics
Jane Goodall,Anthropology
Paul Krugman,Economics
Salman Rushdie,Novelist
Elon Musk,Entrepreneur
Thomas L. Friedman,Author
Jared Diamond,Evolutionary Biology
Fethullah Gülen,Religion
Garry Kasparov,Policy
Jürgen Habermas,Philosophy
Arundhati Roy,Novelist
Ahmed Zewail,Chemistry
Shinya Yamanaka,Medicine
Lawrence Lessig,Jurisprudence
Zbigniew Brzezinski,Politics
Aleksandr Dugin,Philosophy
Judith Butler,Philosophy
James Lovelock,Futurist
Shashi Tharoor,Author
Steven Weinberg,Physics
John le Carre,Novelist
Zygmunt Bauman,Sociology
Matt Ridley,Author
Ayaan Hirsi Ali,Policy
Daniel Kahneman,Psychology
Abdullah Gul,Policy
Craig Venter,Entrepreneur
Shirin Ebadi,Policy
Bono,Artist
Eric Schmidt,Entrepreneur
Saul Kripke,Philosophy
Vilayanur Ramachandran,Neuroscience
Elizabeth Warren,Policy
Richard Posner,Jurisprudence
Steven Pinker,Psychology
Leyma Gbowee,Policy
Jeffrey Sachs,Economics
Joichi Ito,Entrepreneur
Chen Guangchang,Jurisprudence
Peter Higgs,Physics
Anthony Giddens,Sociology
Michel Houellebecq,Novelist
Nassim Taleb,Author
Manuel Castells,Sociology
Sam Harris,Author
Gao Xingjian,Novelist
Naomi Klein,Author
Yanis Varoufakis,Economics
Amory Lovins,Ecology
Pascal Lamy,Policy
Cornel West,Philosophy
Alain de Botton,Author
Mo Yan,Novelist
Milan Kundera,Novelist
Mikhail Khodorkovsky,Entrepreneur
Thomas Nagel,Philosophy
Tariq Ramadan,Theology
Antonio Damasio,Neuroscience
Mario Molina,Chemistry
Douglas Rushkoff,Author
Eric. S. Raymond,Computer Science
Alexei Navalny,Policy
Bruno Latour,Sociology
Eckhart Tolle,Author
Anthony Appiah,Philosophy
Amal Clooney,Jurisprudence
Ellen MacArthur,Ecology
Johan Galtung,Politics
Yoani Sanchez,Policy
Tim O'Reilly,Entrepreneur
Seth Godin,Author
Amos Oz,Novelist
Jaron Lanier,Author
Fredric Jameson,Philosophy
Ngozi Okonjo-Iweala,Economics
Charles Taylor,Philosophy
Jacques Delors,Policy
Niall Ferguson,History
Guy Kawasaki,Author
Francis Fukuyama,Economics
Adolfo Perez Esquivel,Policy
Peter Sloterdijk,Philosophy
Douglas R. Hofstadter,Computer Science
Hans Küng,Theology
Abolhassan Bani-Sadr,Policy
David Graeber,Anthropology
Reza Aslan,Theology
Cass Sunstein,Jurisprudence
Daron Acemoglu,Economics
Derek Parfit,Philosophy
Zhu Rongji,Policy
Jean-Luc Marion,Philosophy
Jeremy Rifkin,Economics
Marian Wright Edelman,Social Entrepreneur
Francois Englert,Physics
Hans Magnus Enzensberger,Novelist
Elif Shafak,Novelist
Carlo Ginzburg,History
Enrique Penalosa,Policy
Immanuel Wallerstein,Sociology
Fareed Zakaria,Author
Ken Robinson,Pedagogics
Alasdair MacIntyre,Philosophy
Daniel Levitin,Neuroscience
Rene Girard,History
Chetan Bhagat,Author
Yuriko Koike,Politics
Thilo Sarrazin,Author
Thomas Piketty,Economics
Robert B. Laughlin,Physics
Jack Ma,Entrepreneur
Bruce Schneier,Computer Science
Laura D. Tyson,Politics
Azar Nfisi,Novelist
Masoumeh Ebtekar,Policy
Homero Aridjis,Novelist
Martin Seligman,Psychology
Ma Huateng,Entrepreneur
Anthony Grafton,History
Ha Jin,Novelist
Evgeny Morozov,Author
Peter Diamandis,Computer Science
Ha-Joon Chang,Economics
Daniel Goleman,Psychology
Bill McKibben,Ecology
Douglass North,Economics
Hans Rosling,Statistics
Tsering Woeser,Novelist
Edgar Morin,Philosophy
King Jigme Singye Wangchuck,Policy
Ramachandra Guha,History
Kenichi Ohmae,Economics
Ricardo Hausmann,Economics
Asma Jahangir,Jurisprudence
Helene Gayle,Social Entrepreneur
Catharine MacKinnon,Jurisprudence
